,fname_1,fname_2,fname_3,fname_4,fname_5,fname_6,fname_7,fname_8,fname_9,fname_10
a whirring device spins continuously a loud saw briefly cuts something ,kitchen refrigerator working.wav,departing_train.wav,Chainsaw_4.wav,Closing automatic garage door.wav,newport-hotel-blow-drier.wav,sd_coffee3.wav,garbage collection.wav,dremmel-noise2.wav,Chainsaw_2.wav,ATV foley &amp; drive in woods - Reverberant [ST].wav
steam hisses getting louder and louder while a car passes by ,stereo noise experiment 130820.wav,"Sredniy Nikolopeskovsky lane, evening ambiance.wav",Roof with fans.wav,Dry Erase.wav,OMV_02.wav,vacuuming upholstery.wav,Ambience_Outdoor_Wind_Birds.wav,psikedelic.wav,german motorway or the autobahn.wav,treinREM2.wav
birds chirp and warble loudly while a bee buzzes ,soundscape forest.wav,Yellow Throated Honeyeater.wav,Vieques night soundscape 10-10-10.wav,Buzzbees.wav,20110423_distant.cuckoo.wav,Ambient noise Kauai.wav,Birds_Singing.wav,birdies.wav,"Insects in the herbs of the plain, thunders in background.wav",20060607.bird.gone.nuts.wav
a person raps on a hollow wall and looks for places where it is not hollow ,indoors dorm dormitory ambient room tone closed window distant noises neighbours.wav,texting with i-phone.wav,Ball bouncing.wav,md1trk13.wav,echo_ljubljana_castle.wav,settingdownglassbottle.wav,Chalk Writing - Slow.wav,Schritte_BootsTeppich.wav,Drinking Water and refreshing sigh.wav,Briefcase Open &amp; Close 2.wav
ocean waves splash heavily in an irregularly frequent cycle ,Pirita Storm waves06.12.2015.wav,CP_Whipping_Wind_Storm_Medium01.wav,Waves on to rocks.wav,waves recording.wav,Kaituna.wav,Sea&amp;wind.wav,Sea Waves Splash the Beach on the Isle of Wight Coast.wav,rbh Waves Lake Medium 01.wav,waves and that helicopter.wav,"Train Passing, Close, Left to Right, B.wav"
a flight getting off while it's raining really badly ,20130406_nasty.weather.09.wav,washing_out_5_gallon_bucket.wav,Fountain at place pigale - Paris - France.wav,Ambience_Outdoor_Wind_Birds.wav,Rain 02 091012.wav,ambience winter train station outdoor quiet distant construction.wav,City Traffic in the Rain.wav,130915 - Interior Room - Hard Rain on Flat Roof.wav,Heavy Rain tin roof.wav,Waves on to rocks.wav
a tone is being made by an electronic wind instrument ,Ripples.wav,Interference3.wav,WineGlass.wav,sortdemo_qb45_insert.wav,Folds.wav,radio_am_01.wav,Coffee Machine - Brew 1.wav,ambientBell.wav,DeLisa Foley clicky robot talk 02.wav,diesellocomotive.wav
a machine makes a rhythmic repetitive low pitched sound stops starts more softly and then rises again in volume ,kitchen refrigerator working.wav,Gong mf2.wav,Ripples.wav,refrigerator buzzing.wav,Interference3.wav,Old alarm clock (ticking and ringing).wav,GobletPing2LHR.wav,sdaviau2.wav,Klangschale weich ff.wav,Espresso Machine.wav
a tractor is revving up it's engine very loud ,ATV foley &amp; drive in woods - Reverberant [ST].wav,engine boat passing by.wav,WASHER machine 2.wav,TAMPER_0332.wav,reenactment4.wav,Engine Reving.wav,Motor bikes passing by.wav,Morning Ride 7.wav,motors-moteurs.wav,graveylargo.wav
a guy is brushing his/her teeth swiftly ,150209 Trevor Webb Teeth Brushing.wav,erasing 1.wav,Filing Nail.wav,Gun Cleaning.wav,Chewing_Fx.wav,sanding wallboard.wav,Washing and scrubbing.wav,plants-watering.wav,coffee Elite opening.wav,Bats in East Finchley.wav
a person is unsuccessfully trying to start a car engine ,LR FRONT_INT CAR DOOR SHUT MVT cricket eve.wav,Moving Chair On Carpet.wav,FP_Diesel_Tractor_Start_Run.wav,Machine.wav,Squeaking of door handle and rumbling of door.wav,Blinds being opened and closed quickly and slowly.wav,windscreen wipers light rain.wav,Opening a Mysterious Trunk.wav,walk_hard_snow.wav,Getting Into Car and Driving Away.wav
a person is walking in gravel and slows their pace gradually ,20060129.scrub.04.wav,footsteps_pebble_each_01.wav,gravel walking.wav,footsteps in woods.wav,Footsteps on Crunchy Snow.wav,Footsteps on Slushy Cement.wav,20060510.walk.scrub.wav,footsteps-gravel-birds.wav,walking 1.wav,24 hn_footstepsSneakerConcreteSnow.wav
a weed whacker or some other lawn device is being started run for a little bit and then stopped ,RC Helicopter Wind Blowing.wav,TAMPER_0332.wav,Espresso.wav,25_MIXER.wav,Closing automatic garage door.wav,ATV foley &amp; drive in woods - Reverberant [ST].wav,arrancada i aturada de la moto.wav,electric screwdriver_ST.wav,sd_coffee3.wav,fliping paper.wav
a strong wind is blowing creating a whistling sound ,Synth Wind.wav,Mouth Wind Howling.wav,bright_wind.wav,volcanoeruption.wav,kriswattierain.wav,"Insects in the herbs of the plain, thunders in background.wav",Drips_in_Downspout_Churping_Cardinal_Some_Distant_Street_Traffic.wav,Spooky Atmosphere.wav,WasherEndWashCycleStartSpinCycle.wav,thebit2.wav
someone walking quietly towards something then a loud breathe noise is made ,horse in woods 130213_00.wav,20060129.scrub.04.wav,3 persons walking slowly on grass noisy ambient 2.wav,footsteps in woods.wav,running_forest_snow.wav,Brushing Hair.wav,Cotton Flapping.wav,FootstepsOnaDock.wav,backpack.wav,Footsteps on Wood floor 1.wav
a person walking fast upstairs on a wooden floor and two people talking there in ,horse in woods 130213_00.wav,20091217.20.pedestrians.wav,Footsteps on Hard Floor.wav,foley footsteps walking in room indoors.wav,Walking on Wood Floor.wav,maastricht town sounds.wav,FootstepsOnaDock.wav,Outside Library.wav,Walking Downstairs.wav,Footsteps on Wood floor 1.wav
static feedback noises an audible thump in the middle ,Electromagnetic Waves on a Macbook Pro.wav,bitmapnoise3.wav,Remulada.wav,novasound7100.wav,stereo noise experiment 130820.wav,earthkiller background 1.wav,Track 06.wav,RC Helicopter Wind Blowing.wav,Space danger.wav,AugustNightInCornField.wav
dog barks for many times at a louder sound ,BIG DOGS_Continues Barking Labrador Retriever (SFX).wav,harbour scene 2.wav,stray_dogs.wav,Pug Woof 3.wav,Rural nightfall atmos.wav,20080321.warbler.n.dogs.wav,Ambience - Pig Pen - Day - 96kHzsssssss.wav,cowbells1.wav,Wine glass hits.wav,PJcalls2.wav
a crowd of people talk while footsteps echo and machinery bangs ,aup.wav,SR005F.wav,Tea Garden Outside Ambience.wav,Place Pigalle ambience Paris.wav,Grocery Shop Atmos.wav,GORAZD_0075_Omori_Pachinko.wav,Busy Drug Store.wav,PS3F_FOZ_centro_Mufato_anuncio2_tarde.wav,BangkokMarket.wav,times_square.wav
a man speaks followed by sirens that grow in volume over time ,STREET_AMBULANCE_01.wav,02-BikeDemo_Chimes_Speak.wav,Letter B BINGO in Arlington Heights.wav,Cityscape 02 100208.wav,vendedor_ambulante.wav,police motorcycle distance to stop.wav,cape taxi radio.wav,Antonio Casquez - Canvis.wav,Synth Wind.wav,gaunermarkt_werbung.wav
a big bell rang and its sound effect is gradually slowing down ,THAI GONG3.wav,KMC_Bell_Ring_01.wav,20060729.lid.wav,mono_bell_0_D_16sec.wav,More Bells.wav,church bell_ljubljana.wav,Klangschale weich ff.wav,metal-bowl-long-decay.wav,GobletPing2LHR.wav,templebell.wav
a velcro strap is being slowly peeled off of a surface ,Zipper sounds.wav,zippers02.wav,fliping paper.wav,Remulada.wav,Paper_Tear_Fx.wav,Opening and Closing Curtains - Slow.wav,Pecan nuts cracked open.wav,Fire Crackle with Roaring Chimney.wav,stretch .wav,Gun_Being_Loaded.wav
a musical gong and metronome sound and count beats ,THAI GONG3.wav,metal-bowl-long-decay.wav,KMC_Bell_Ring_01.wav,Bell Ring.R.wav,Klangschale weich ff.wav,20060729.lid.wav,mono_bell_0_D_16sec.wav,Bell7.wav,BERBER _SONG.wav,clunks_in_water.wav
a foghorn sounds its loud deep alert which echoes over the water ,Synthetic rumble with rising tone.wav,Daaaark.wav,bright_wind.wav,resonante bass ring-15.J.wav,Ripples.wav,Strange_en_horn.wav,radio_am_01.wav,Synth Wind.wav,thebit2.wav,Folds.wav
a person is slowing down in a car with engine noises in the background ,London Bus.wav,Passing Tractor.wav,vertrek.wav,TREIN3.wav,traffic from inside an apartment.wav,Train Plan V 090627.wav,Train Mill Hill v1.wav,FastCarAmb.wav,getting_on_the_highway.wav,Bus sound.wav
water is running through a tap near a mechanical device making a consistent hum in the background ,Espresso Machine.wav,ambient bubbling liquid.wav,washing_machine_beginning.wav,SHOWER.wav,sink1.wav,Sink_on_off.wav,Splashing in water.wav,dishwasher01.wav,indoors WC bathroom ambient room tone.wav,JM_MACHINE_Coffee Machine 01 - Office.wav
children's playing and shouting in children's play ground ,firenze_kids_churchyard.wav,city park Tel Aviv.wav,stenochscentre.wav,Zag.canon.eda.wav,Kids GardenHose 130723_02.wav,Next To School in Street Ambience.wav,Binnenrotte market live 100309.wav,Mall Ambient.wav,people_sitting_by_fire.wav,Twee dozen aardbeien.wav
people of the opposite gender are talking with each other as a cars engine makes noise ,Place Pigalle ambience Paris.wav,Traffic Karl-Liebknechtstrasse 111223.wav,24 may 2011.wav,130916 General Paz y Panamericana.wav,museum2.wav,soft-motor-wobble.wav,UoA_NuLibraryGlassLift_1202.wav,Street scene in Bangkok.wav,London Bus.wav,Subway to Namba St. .wav
lots of traffic music was playing and a car beep at the end ,20100220.concentration.00.wav,Amusement Park.wav,openingdome.wav,01451 war scene arrangement 1.wav,City Street.wav,trainpvoc.wav,Place Pigalle ambience Paris.wav,08-Bakken_RacingCars.wav,spaceship engine.wav,steps in the station.wav
ice/marbles are poured into a glass and shaken ,Dropping Coins into Water.wav,Glasses Kitchen_IO.wav,Eating a TicTac.wav,bruits.chute.petite.urne.gravillons.wav,bathroom_water_tap_on_fill_off_drain_24_96_stereo.wav,160170_Gravel_OWI.wav,Bell from large rabbit plush.wav,Washing and scrubbing.wav,md3trk14.wav,metallic scratches an rubs.wav
water drips on water while a tone echoes and fades in the background ,gotes lent.wav,Water_bubbles_stereo_StereoPiezo_44_24.wav,Splashing in water.wav,Dribbling water Edited.wav,gully with water drips.wav,drainage pipe running.wav,Taps in the Bath.wav,gotes mig.wav,LakeWavesOct25th2015.wav,Water drops into a metallic bowl.wav
a heavy rain pouring down in a forest area ,03480 static white noise.wav,"Wind in a tree, close to the foliage.wav",Wind in trees-force8-night.wav,TONE pink noise  44.1 16bit.wav,Waterfalls_00212.wav,20100110.rain.marshes.wav,Wasserfall 2.wav,Rain 02 091012.wav,Stream 5 at Krka falls.wav,creek_tyrol_austria.wav
a person is calling someone by dialling number on the landline phone ,telephone ring.wav,BRITISH PHONE.wav,Old alarm clock (ticking and ringing).wav,cape taxi radio.wav,Short circuit.wav,Public Place Children Indoors.wav,Kurla local train station Mumbai (2).wav,telefono_en_espera.wav,Elevator Arrives.wav,Kurla local train station Mumbai (1).wav
waves roll on shore as a jet airliner roars overhead ,CP_Whipping_Wind_Storm_Medium01.wav,"Train Passing, Close, Left to Right, B.wav",Waves on to rocks.wav,subway train.L.wav,bebops_wind2.wav,spaced.wav,Ambience of the battle field2.wav,5_Navy-Blue-Angels-jets_CLIP.wav,level crossing.wav,synthwind.wav
a moving car on a traffic free highway at a high speed ,german motorway or the autobahn.wav,traffic from inside an apartment.wav,Train Mill Hill v1.wav,three departures at bus station.wav,Roof with fans.wav,car coming 1.wav,traffic_night_street.wav,psikedelic.wav,AMB_Ext_Night_Residential_001.wav,getting_on_the_highway.wav
someone is bouncing on a chair with metal legs ,abandoned-ballroom-objects-wood-metal.wav,safe deposit box lock-unlock.wav,kettle-watergong3.wav,DeLisa Foley clicky robot talk 02.wav,water jugs.wav,kettle-watergong2.wav,trolley wheels foley-mg.wav,Hangers Moving.wav,boxes_falling_down_stairs_01.wav,Stiff Metal Wire.wav
a crowd of people is talking and a scooter drives around ,market1.wav,GORAZD_0075_Omori_Pachinko.wav,Tea Garden Outside Ambience.wav,museum2.wav,Place Pigalle ambience Paris.wav,BangkokMarket.wav,20100806.stockholm.street.ambiance.wav,aup.wav,times_square.wav,Ousman Ramble.wav
a child screams while people are talking together inside a room ,firenze_kids_churchyard.wav,Asher.wav,Clidren_joke_fun.wav,Kids GardenHose 130723_02.wav,PS3F_FOZ_centro_Mufato_anuncio2_tarde.wav,Mall Ambient.wav,16 coffee shop ambience.wav,people_sitting_by_fire.wav,door_squeaky.wav,stan_laughing_12292012.wav
a large number of people in a public place discussing ,Public Place.wav,Bar atmosphere - Not So Busy.wav,jf Resonant Space.wav,Cafe 1.wav,Busy Dining Room Atmos.wav,BigCrowdBigHall.wav,16 coffee shop ambience.wav,Ambience outside a series of restaurants.wav,Amusement Park (Ambience).wav,Carmel Market.wav
a loud whirring motor is spinning while a person coughs nearby ,Airplane Cabin.wav,Roof with fans.wav,indoors WC bathroom ambient room tone.wav,"Helicopter interior, no rotor.wav",cats on heat.wav,Help Me.wav,Apartment Ambiance 2.wav,Morning Ride 7.wav,Windermere Ferry Door Closing.wav,cinemato.wav
truck with loud engine noise passes by followed in three seconds by a quieter second truck ,traffic at green light.wav,Diesel truck and small car.wav,Engine Reving.wav,Bus sound.wav,traffic_night_street.wav,00208 tractors passing by.wav,tata_hungary__ady_endre_road_20080718.wav,Crossroads with traffic lights #1.wav,three departures at bus station.wav,city_traffic_day.wav
a power drill being used to drill continuously and then stops ,Construction Work 1 - 44.1kHz16Bit - Measurement Mirophone - Mono - TASCAM_DR40 - normalized - fade in and fade out low-3.wav,Espresso.wav,STEREO INTERFERENCE.wav,dremmel-noise2.wav,150209 Trevor Webb Tire Squeeke.wav,ModernSewingMachine.wav,sd_coffee3.wav,25_MIXER.wav,telephone ring.wav,electric screwdriver_ST.wav
a vehicle is passing by and people are talking in the background ,Place Pigalle ambience Paris.wav,BangkokMarket.wav,Traffic Karl-Liebknechtstrasse 111223.wav,20100806.stockholm.street.ambiance.wav,Tea Garden Outside Ambience.wav,24 may 2011.wav,Omni_Ambiental_ParkingLot.wav,market1.wav,2 Subway Nice Place to Live.wav,"09-07-11_0653_Bolhao early morning, truck gets unpacked.wav"
a device beeps and blares a tone while cars drive by in the background ,20100220.concentration.00.wav,Microwave 01.wav,vendedor_ambulante.wav,spaceship engine.wav,BRITISH PHONE.wav,cape taxi radio.wav,Elevator Arrives.wav,Grocery Shop Atmos.wav,DH12_141Tram1.wav,ship horn.wav
one person drive the bike very fast and move very loudly ,Oxford Cambridge boat race 2010.wav,motors-moteurs.wav,ATV foley &amp; drive in woods - Reverberant [ST].wav,20100220.concentration.00.wav,engine boat passing by.wav,City Traffic (Outdoor).wav,wien_demo.wav,03199 power generator construction place .wav,WASHER machine 2.wav,TAMPER_0332.wav
river flowing down stream and the sound gets louder as the stream altitude increases ,Water on tarp 2.wav,kenrokuen.wav,Waterfalls_00212.wav,Stram.wav,creekclose.wav,WS RunningWater.wav,Stream 5 at Krka falls.wav,burton_waterfall_02.wav,131227_strumyk_2.wav,creek_tyrol_austria.wav
a car backs out on a road and starts to drive ,Engine Reving.wav,00208 tractors passing by.wav,Crossroads with traffic lights #1.wav,getting_on_the_highway.wav,traffic at green light.wav,DH12_141Tram1.wav,Diesel truck and small car.wav,Bus sound.wav,city_traffic_day.wav,three departures at bus station.wav
a metal can is being punctured the can's lid is removed ,Ambience_hurricane tube_low freq.wav,CR SharktoGnawAmb.wav,contact_mic_on_satellite_dish09.wav,soda can_pop.wav,clang_metal_(hit).wav,clunks_in_water.wav,Blinds being opened and closed quickly and slowly.wav,Hangers Moving.wav,Construction Work 1 - 44.1kHz16Bit - Measurement Mirophone - Mono - TASCAM_DR40 - normalized - fade in and fade out low-3.wav,Stones sound.wav
consistent stream of water is running through a fountain outside ,creekclose.wav,Running water 20121021T2335.wav,burton_waterfall_02.wav,20130825-Water-fountain-Slavonice.wav,Stream Running Into Pond.wav,131227_strumyk_2.wav,WS RunningWater.wav,Stream Under Rocks.wav,forest stream ambiance.wav,kenrokuen.wav
a dark forest has been filled with some kind of animal sound ,sheep calling her baby lambs.wav,"Insects in the herbs of the plain, thunders in background.wav",dare16_eerie.wav,Fake Wind - Blowing into the Mic - 30 sec.wav,Ripples.wav,Sheep bleating.wav,volcanoeruption.wav,cats on heat.wav,20080302.sheeps.close.wav,rockonice.wav
water flowing downwards from a mountain to a river ,kenrokuen.wav,StreamPTDMos.wav,Water on tarp 2.wav,Stream Under Rocks.wav,creekclose.wav,Stream trickling with small waterfall close by.wav,131227_strumyk_2.wav,Running water 20121021T2335.wav,20130825-Water-fountain-Slavonice.wav,forest stream ambiance.wav
heavy rain have been found in the area and it is louder also ,Wasserfall 2.wav,Heavy Rain tin roof.wav,Rain 02 091012.wav,Stream 5 at Krka falls.wav,Wind in trees-force8-night.wav,Waterfalls_00212.wav,creek_tyrol_austria.wav,TONE pink noise  44.1 16bit.wav,03480 static white noise.wav,forestandocean.wav
dogs bark birds sing and a door with squeaky hinges opens ,EnterGate.wav,big wooden door open close.wav,Rural nightfall atmos.wav,dog howl in woods.wav,20080321.warbler.n.dogs.wav,door_squeaky.wav,stray_dogs.wav,Squeaky Windshield Wipers.wav,20091226.soft.door.wav,outdoors ambient distant village 2.wav
water in france is running through an old stone drainage sewer system and a man is talking over it ,"Water In Montsegur, France.wav",acent.wav,Robot Overlords Monologue.wav,CFX-20130331-UK-DorsetHarbour05.wav,gaunermarkt_werbung.wav,Street Interview.wav,indoors ambient room tone.wav,Antonio Casquez - Canvis.wav,Plastic Rain Barrel long.wav,Scratching Hair.wav
dishes clank multiple times while a plastic bag is rustled ,Glasses Kitchen_IO.wav,metallic scratches an rubs.wav,weights rope.wav,Tool Box.wav,Remove crashed glass.wav,kitchen indoor atmosphere.wav,bruits.chute.petite.urne.gravillons.wav,Sound_FX_Kitchen_Kniifes and forks.wav,CanChaos.wav,Wheat ears shaken.wav
a can being open and the liquid being poured out ,Draining Kitchen Sink by Fajack.wav,water dispenser.wav,Filling Teapot.wav,"Water - Leak, small.wav",gootsteen.wav,Splashing in water.wav,Dropping Coins into Water.wav,bathroom_water_tap_on_fill_off_drain_24_96_stereo.wav,drainage pipe running.wav,Water_bubbles_stereo_StereoPiezo_44_24.wav
static noise and someone opens something and then the static noise starts to fade ,Elevator Ride and Door Open Merchants Bldg.wav,CR SharktoGnawAmb.wav,scratching_door.wav,closing washing machine.wav,night_station.wav,bebops_fire2.wav,Booklet_-_Throwing_down_on_wood_03_L_Close_R_Distant.wav,mountainBike pass in wood 140120_01.wav,The Great Outdoors of Kortepohja.wav,entering shower moving curtain raffle raffling foley VARIOUS TAKES.wav
multiple insects are making noise outside the factory ,Night in nature 2.wav,Cicada_00410.wav,AugustNightInCornField.wav,August night.wav,FR.CTC.08.CoyuyoS.006.wav,high park crickets.3.wav,20110903_cycadas.n.wind.06.wav,Cricket2.wav,"Village Square, Kardamyli, Ciccadas and distant chat.wav",greece_naxos_cicadas_6.wav
it is raining outside and a strong wind is blowing ,Rain 02 091012.wav,Heavy Rain tin roof.wav,Stream 5 at Krka falls.wav,washing_out_5_gallon_bucket.wav,Waterfalls_00212.wav,Rain In The City.wav,20130406_nasty.weather.09.wav,Kaituna.wav,Wasserfall 2.wav,"Rain next to open window, dog barks in the distance.wav"
it is fan movement and it is touching on object ,TASCAM_0337.wav,earthkiller background 1.wav,The Great Outdoors of Kortepohja.wav,Kitchen Timer Ticking Long.wav,"Helicopter interior, no rotor.wav",City House Ambience.wav,bath room fan.wav,HARDWARE STORE ROOMTONE.wav,room tone empty train station quiet.wav,Gun_Being_Loaded.wav
a man woman and child are talking while waves are crashing in ,tedeschi.wav,glassfordstreet.wav,platform.wav,balloonburner.wav,CFX-20130331-UK-DorsetHarbour04.wav,Binnenrotte market live 100309.wav,Kids GardenHose 130723_02.wav,rowing boat.wav,people_sitting_by_fire.wav,Twee dozen aardbeien.wav
a machine starting up and shutting down continuously woman murmuring in background ,UoA_NuLibraryGlassLift_1202.wav,washing_machine_beginning.wav,Machine.wav,24 may 2011.wav,bkkairport01.wav,Microwave 01.wav,Stove Full.wav,Tea Garden Outside Ambience.wav,vand.wav,Fan noise.wav
offloading maize grains from a truck using shovels ,footsteps_pebble_each_01.wav,plastic foil (outdoor recording).wav,rios_barney_geo_fonia_contra_el_viento.wav,Pills .wav,"Iron gate, street.wav",Rain on the Window Sill (indoors).wav,Noisemetro (Long).wav,Skateboard rolling down concrete ramp.wav,walk_hard_snow.wav,md3trk14.wav
someone is using a stick and scrolling on a fence ,Match being lit.wav,Hangers Moving.wav,Stanley Knife Scraping Macbook.wav,Talll Grass Hits 2.wav,Cutting paper.wav,Polaroid Camera Shot.wav,Zipper sounds.wav,different variations of taring material.wav,Metal coat hanger on steel hook.wav,plants-watering.wav
water running by relatively quickly with mild intensity ,Running water 20121021T2335.wav,20130825-Water-fountain-Slavonice.wav,Water on tarp 2.wav,Water_Falling_Bathtub_Drain.wav,Peeing into toilet.wav,Stream Under Rocks.wav,kenrokuen.wav,Tap Water Open.wav,"Running Water, various pressure.wav",waves and that helicopter.wav
a door is opened a bell rings as birds chirp in the background ,big wooden door open close.wav,EnterGate.wav,00213 train signal bird and rain.wav,Phone Dong.wav,MetroTrain.wav,20061017.apres.lapluie.pigeon.wav,Elevator Ride and Door Open Merchants Bldg.wav,20101118.omnium.sanctorum.wav,1_ambiente inicio.wav,CFX-20130331-UK-DorsetHarbour06.wav
dog growling and backing continuously in a low tune ,harbour scene 2.wav,Pug Woof 3.wav,BIG DOGS_Continues Barking Labrador Retriever (SFX).wav,Before-After Remix of 53263__stomachache__pterodactyl.wav,stray_dogs.wav,Folds.wav,WineGlass.wav,Ripples.wav,IRON_SLIDE.wav,Rural nightfall atmos.wav
a person is walking on a wooden floor with heavy steps and then opens a door ,Walking on Wood Floor.wav,door walking exit.wav,Walking Downstairs.wav,FootstepsOnaDock.wav,20150330_11.wooden.floor.night.MS.wav,entering1.wav,20150712_underground.parking.wav,20091226.squeaky.door.wav,horse in woods 130213_00.wav,Footsteps on Wood floor 1.wav
a man speaks then snaps twigs and birds chirp in the background ,Snapping Stick.wav,fly 1 sands_05.wav,WALKING IN A CAVE.wav,POTATO_CHIP_BAG OPEN.wav,Scratching Hair.wav,acent.wav,CFX-20130331-UK-DorsetHarbour05.wav,Outside Library.wav,CFX-20130331-UK-DorsetHarbour09.wav,Street Interview.wav
food sizzles in a pan as someone chops ingredients ,Grill.wav,Pork sausage.wav,Clockwork_Stegasaurus_Toy.wav,Dry Erase.wav,Sink_on_off.wav,stereo noise experiment 130820.wav,vacuuming upholstery.wav,BodyDrag2.wav,water_sink.wav,Fuse.wav
a machine preparing product continuously and it is making fast movement ,"Helicopter interior, no rotor.wav",Small tractor.wav,sd_coffee3.wav,washing_machine_beginning.wav,Stove Full.wav,commercial vacuum.wav,Rain on the Window Sill (indoors).wav,cinemato.wav,traffic from inside an apartment.wav,office.refrigerator.wav
two persons are speaking and after some time one person is shouting ,Robot Overlords Monologue.wav,acent.wav,Street Interview.wav,ABC&#39;s (long version).wav,Scratching Hair.wav,Letter B BINGO in Arlington Heights.wav,Antonio Casquez - Canvis.wav,Outside Library.wav,gaunermarkt_werbung.wav,Street Interview - shorter version.wav
fireworks setting off with people in the background jubilating ,Fireworks_Amsterdam_48_24.wav,Sorrento Fireworks.wav,Fireworks_2_Amsterdam_48_24.wav,strange sounding firework rocket explosions.wav,ThreeFireworks.wav,Zag.canon.eda.wav,fireworkslong2.wav,Thunderstrikes very close.wav,ending.applause.wav,20081231.fire.02.wav
rumbling ambience rolls like vague thunder aside rainy patter ,thunder002.wav,Synthetic Thunderstorm.wav,jetengines.wav,20070610.thunder.wav,natural_wind.wav,thunderstorm_4.wav,2016-10-06 Thunder Crack.wav,thunder_nl.wav,thunder wind 02.wav,ThunderRoll02.wav
a man-made object is being moved then a person quietly walks as people talk further away ,Outside Library.wav,0129 Big_shop.wav,redbarn_feeding-horses.wav,Clothing Rubbing Foley Sound.wav,Footsteps on Wood floor 1.wav,entering shower moving curtain raffle raffling foley VARIOUS TAKES.wav,horse in woods 130213_00.wav,indoors dorm dormitory ambient room tone closed window distant noises neighbours.wav,foley noisy chair moving standing up different speed.wav,FootstepsOnaDock.wav
metals scraps moved on the floor of the room ,Coming into a hospital in saturday.wav,light.wav,A000051_6.wav,PS3F_FOZ_centro_Mufato_carrinhos_tarde.wav,20150330_11.wooden.floor.night.MS.wav,foley noisy chair moving standing up different speed.wav,Sound_FX_Kitchen_Kniifes and forks.wav,Industrial fan.wav,entering shower moving curtain raffle raffling foley VARIOUS TAKES.wav,Remove crashed glass.wav
machine is running with the lowest sound for a short time ,Daaaark.wav,WineGlass.wav,Synthetic rumble with rising tone.wav,Gong mf2.wav,ambiant hangar sound.wav,Interference3.wav,trainpvoc.wav,sdaviau2.wav,diesellocomotive.wav,glassgnissel1.wav
a person is touching an item that rolls and is making it roll eight times ,opening and swallowing pills.wav,Chains Being Rolled Up.wav,Pecan nuts cracked open.wav,Tortured Apple 02.wav,DVD Cases.wav,Briefcase Open &amp; Close 2.wav,Bats in East Finchley.wav,fliping paper.wav,Eating a TicTac.wav,Twist Off Bottle Cap.wav
an airplane is taking off at an airport ,airliner_ascend.wav,airshow_2.wav,Underground Parking Ambience.wav,spaced.wav,reenactment4.wav,hillden.wav,Tornado Left To  Right.wav,2009-07-23_1554_Serralves Park Airplane flying by.wav,Landing Jet 3.wav,treinREM2.wav
people are talking nonchalantly downtown as a machine whirs rapidly ,aup.wav,metro underground  ambient opening closing doors noisy transport catalan spanish barcelona.wav,Place Pigalle ambience Paris.wav,BangkokMarket.wav,times_square.wav,0129 Big_shop.wav,24 may 2011.wav,Ambience - Quiet Train.wav,InsideBus.wav,Tea Garden Outside Ambience.wav
a car accelerates passes by and then slows to a stop ,traffic at green light.wav,city_traffic_day.wav,car coming 1.wav,AMB_Ext_Night_Residential_001.wav,00208 tractors passing by.wav,Boulevard with motorbike.wav,Engine Reving.wav,traffic_night_street.wav,Crossroads with traffic lights #1.wav,car_pass_02_070812.wav
moving train at a moderate speed on a wind day ,"Train Passing, A.wav","Amtrak Crescent and Commuter Train, Left to Right.wav",kamakura_train.wav,Esperance Wind Farm II.wav,Train Plan V 090627.wav,md9trk2.wav,Inside a train 2.wav,train11.wav,"Train Passing, Close, Left to Right, B.wav",backhoes.wav
a large helicopter is being flown close by before it passes ,reenactment4.wav,airshow_2.wav,airliner_ascend.wav,Helicopter Landing.wav,Landing Jet 3.wav,engine boat passing by.wav,WASHER machine 2.wav,2009-07-23_1554_Serralves Park Airplane flying by.wav,5_Navy-Blue-Angels-jets_CLIP.wav,Underground Parking Ambience.wav
birds are chirping while a gate opens and closes ,EnterGate.wav,big wooden door open close.wav,20070628.casual.ambiance.wav,Budgies Chirping 2.wav,spider_monkeys.wav,Birds over Brooklyn.wav,09-07-15_2053_Small place near metro station Faria Guimaraes in the evening.wav,00213 train signal bird and rain.wav,20060607.bird.gone.nuts.wav,20080321.warbler.n.dogs.wav
numerous types of birds are squawking and making noises ,AMB_CityPark_Day_Seagull_People.wav,20070628.casual.ambiance.wav,birdies.wav,Sk310308 chaffinch crow.wav,20080321.warbler.n.dogs.wav,Budgies Chirping 2.wav,Birds_Singing.wav,20070424.footsteps.wav,Birds over Brooklyn.wav,20110423_distant.cuckoo.wav
music is playing in the background then a siren goes off ,Ambulence - WARNING LOUD.wav,police motorcycle distance to stop.wav,FIRE ENGINE long approach and drive away.wav,STREET_AMBULANCE_01.wav,raindrops on metal_police background.wav,01451 war scene arrangement 1.wav,Welte Philharmonic Organ.wav,PipeWork.wav,Synth Wind.wav,Cityscape 02 100208.wav
a person is doing the work with some kind of vessels ,md1trk13.wav,Knife hit on Bread Board.wav,Metal coat hanger on steel hook.wav,contact_mic_coffee_maker.wav,playing chess.wav,Metal_Tin_Hit_bang.wav,Setting Class on Table_02-01.wav,Waves at the edge of Bosphorus.wav,various slap takes.wav,faucet2.wav
